,freguesia,latitude,longitude,Sleeping
3433,Santa Maria Maior,38.7145273821,-9.13699235936,462.9864753460816
3412,Santa Maria Maior,38.7117236066,-9.13699235936,460.42017289082435
2546,Misericórdia,38.7103216776,-9.14417888163,440.016532591899
2558,Misericórdia,38.7131255081,-9.14417888163,390.72650391324544
3424,Santa Maria Maior,38.7131255081,-9.13699235936,356.3323497826869
3423,Santa Maria Maior,38.7131255081,-9.13878898992,321.36444084692135
3402,Santa Maria Maior,38.7103216776,-9.13519572879,311.3698844909668
2564,Misericórdia,38.7145273821,-9.14417888163,294.3207447740615
2545,Misericórdia,38.7103216776,-9.1459755122,291.7266478333569
3411,Santa Maria Maior,38.7117236066,-9.13878898992,285.29644780855807
3476,Santo António,38.7215363397,-9.1513654039,279.6601432865875
2547,Misericórdia,38.7103216776,-9.14238225106,270.7736104730207
2542,Misericórdia,38.7103216776,-9.1513654039,240.4835814336651
3431,Santa Maria Maior,38.7145273821,-9.14058562049,235.7012032615421
712,Avenidas Novas,38.7327492422,-9.1459755122,228.90618924356804
3470,Santo António,38.7201346032,-9.1459755122,219.16045901563584
3401,Santa Maria Maior,38.7103216776,-9.13699235936,219.04687677071908
610,Arroios,38.7229380488,-9.13519572879,215.18942694950923
3472,Santo António,38.7201346032,-9.14238225106,200.817392524129
3446,Santo António,38.7159292286,-9.1459755122,200.7159593945588
3486,Santo António,38.7229380488,-9.14956877333,196.04790799050755
604,Arroios,38.7215363397,-9.13519572879,191.7365045684115
3502,Santo António,38.7257413844,-9.14777214276,188.7393120271087
622,Arroios,38.7257413844,-9.13519572879,187.24189099199793
3409,Santa Maria Maior,38.7117236066,-9.14238225106,186.9563322313194
3421,Santa Maria Maior,38.7131255081,-9.14238225106,181.00017181986723
3393,Santa Maria Maior,38.7089197211,-9.13519572879,179.5582810759886
3436,Santa Maria Maior,38.7145273821,-9.13160246765,169.57819485049535
3441,Santa Maria Maior,38.7159292286,-9.13339909822,166.31839533316713
2548,Misericórdia,38.7117236066,-9.15316203447,165.7846130764587
3506,Santo António,38.7271430109,-9.1459755122,165.20510016061516
3439,Santa Maria Maior,38.7159292286,-9.13699235936,164.95515765843214
700,Avenidas Novas,38.7299461815,-9.14777214276,164.11934085835017
3485,Santo António,38.7229380488,-9.1513654039,161.82722063255858
3432,Santa Maria Maior,38.7145273821,-9.13878898992,161.56828049055827
3400,Santa Maria Maior,38.7103216776,-9.13878898992,161.10298019562205
632,Arroios,38.72854461,-9.14777214276,156.96544408388328
3479,Santo António,38.7215363397,-9.1459755122,153.24504281183368
649,Arroios,38.7313477256,-9.1459755122,149.8375359510624
694,Avenidas Novas,38.72854461,-9.14956877333,148.92255032165002
3389,Santa Maria Maior,38.7089197211,-9.14238225106,148.29684759211062
655,Arroios,38.7313477256,-9.13519572879,139.8452721803441
3403,Santa Maria Maior,38.7103216776,-9.13339909822,138.52762186766353
3413,Santa Maria Maior,38.7117236066,-9.13519572879,138.30114571207915
3487,Santo António,38.7229380488,-9.14777214276,137.17306575665842
3422,Santa Maria Maior,38.7131255081,-9.14058562049,135.38701989794188
699,Avenidas Novas,38.7299461815,-9.14956877333,135.31885408330442
688,Avenidas Novas,38.7271430109,-9.14956877333,133.63263574507312
634,Arroios,38.72854461,-9.14417888163,130.9302578928819
3505,Santo António,38.7271430109,-9.14777214276,128.49710607665315
725,Avenidas Novas,38.7355521928,-9.14956877333,126.73492781229596
599,Arroios,38.7201346032,-9.13519572879,124.4058164279577
3394,Santa Maria Maior,38.7089197211,-9.13339909822,124.07848151843665
1963,Estrela,38.7131255081,-9.15316203447,123.87048709563335
3697,São Vicente,38.7159292286,-9.13160246765,123.60031500928382
2534,Misericórdia,38.7075177371,-9.14417888163,123.54458459673775
3444,Santa Maria Maior,38.7187328392,-9.13519572879,117.7311462140015
2567,Misericórdia,38.7159292286,-9.14777214276,117.71736323457735
639,Arroios,38.72854461,-9.13519572879,116.09931230271785
3507,Santo António,38.7271430109,-9.14417888163,116.07045828100604
3703,São Vicente,38.7159292286,-9.12082268424,113.96151894348057
3498,Santo António,38.7243397303,-9.1459755122,113.94449866467014
3497,Santo António,38.7243397303,-9.14777214276,110.268882576579
3503,Santo António,38.7257413844,-9.1459755122,110.23948439349418
3204,Penha de França,38.7327492422,-9.12980583708,109.36991401798062
654,Arroios,38.7313477256,-9.13699235936,108.64197679781982
2553,Misericórdia,38.7117236066,-9.14417888163,108.48429795459212
3418,Santa Maria Maior,38.7117236066,-9.12621257595,107.09656188139601
3392,Santa Maria Maior,38.7089197211,-9.13699235936,105.46366765096057
2541,Misericórdia,38.7103216776,-9.15316203447,103.69438401197635
3440,Santa Maria Maior,38.7159292286,-9.13519572879,102.31034370001544
3494,Santo António,38.7243397303,-9.15316203447,102.06790843460826
3410,Santa Maria Maior,38.7117236066,-9.14058562049,101.42765049538161
623,Arroios,38.7257413844,-9.13339909822,100.90848145170676
754,Avenidas Novas,38.7397564126,-9.1459755122,97.9718679066362
2552,Misericórdia,38.7117236066,-9.1459755122,97.62326674201769
3462,Santo António,38.7187328392,-9.14417888163,97.2956730540639
615,Arroios,38.7243397303,-9.13519572879,96.42905442694197
3454,Santo António,38.7173310476,-9.14417888163,95.94355316831594
703,Avenidas Novas,38.7313477256,-9.1513654039,95.22040138955103
3467,Santo António,38.7201346032,-9.1513654039,94.16094523377951
3391,Santa Maria Maior,38.7089197211,-9.13878898992,93.85025793911734
3734,São Vicente,38.7215363397,-9.12800920651,92.38355301444373
3442,Santa Maria Maior,38.7173310476,-9.13519572879,91.40822344181531
3437,Santa Maria Maior,38.7159292286,-9.14238225106,90.94681957594645
3728,São Vicente,38.7201346032,-9.12800920651,90.65028662258028
3478,Santo António,38.7215363397,-9.14777214276,89.8168193153119
616,Arroios,38.7243397303,-9.13339909822,88.53656162402692
647,Arroios,38.7299461815,-9.13519572879,87.72988544699115
3492,Santo António,38.7243397303,-9.15675529561,87.27971359105369
765,Avenidas Novas,38.7411577642,-9.14777214276,87.12313192877276
3452,Santo António,38.7173310476,-9.14777214276,86.67386807411653
3416,Santa Maria Maior,38.7117236066,-9.12980583708,86.18957032856764
2535,Misericórdia,38.7075177371,-9.14238225106,85.77292288750154
3014,Parque das Nações,38.7733812602,-9.09746648685,84.71416185288071
3399,Santa Maria Maior,38.7103216776,-9.14058562049,82.99183394369219
766,Avenidas Novas,38.7411577642,-9.1459755122,82.64609188183971
3739,São Vicente,38.7229380488,-9.13160246765,82.43183361630044
3006,Parque das Nações,38.7719805412,-9.09746648685,81.7172833598418
3686,São Vicente,38.7131255081,-9.12980583708,81.61458439130155
2551,Misericórdia,38.7117236066,-9.14777214276,81.00103159142087
3495,Santo António,38.7243397303,-9.1513654039,80.35163304593979
3499,Santo António,38.7243397303,-9.14417888163,78.38020043113512
3491,Santo António,38.7243397303,-9.15855192617,78.15034380546614
633,Arroios,38.72854461,-9.1459755122,78.0709168822171
3450,Santo António,38.7173310476,-9.1513654039,77.23965596196302
3404,Santa Maria Maior,38.7103216776,-9.13160246765,76.72747846729092
629,Arroios,38.7271430109,-9.13519572879,75.07647551848075
