grelha_id,dicofre,entity_id,entity_type,freguesia,freguesias,grelha_x,grelha_y,latitude,longitude,nome,objectid,position,wkt
602,110602,coi.tematica.grelha.lx.atributos.84,coi.tematica.grelha.lx.atributos,Alcântara,Alcântara,26,16,38.71312550810,-9.18550138470,Tapada da Ajuda,602,"{'type': 'GeometryCollection', 'geometries': [{'coordinates': [[[-9.184600044, 38.712423352], [-9.186396674, 38.712423352], [-9.186396674, 38.71382524], [-9.184600044, 38.71382524], [-9.184600044, 38.712423352]]], 'type': 'Polygon'}]}","MULTIPOLYGON (((-9.18460004365902 38.7124233523575,-9.18639667422726 38.7124233523575,-9.18639667422726 38.7138252401344,-9.18460004365902 38.7138252401344,-9.18460004365902 38.7124233523575)))"
661,110602,coi.tematica.grelha.lx.atributos.97,coi.tematica.grelha.lx.atributos,Alcântara,Alcântara,27,17,38.71452738210,-9.18370475413,Tapada da Ajuda,661,"{'type': 'GeometryCollection', 'geometries': [{'coordinates': [[[-9.182803413, 38.71382524], [-9.184600044, 38.71382524], [-9.184600044, 38.7152271], [-9.182803413, 38.7152271], [-9.182803413, 38.71382524]]], 'type': 'Polygon'}]}","MULTIPOLYGON (((-9.18280341309078 38.7138252401344,-9.18460004365902 38.7138252401344,-9.18460004365902 38.7152271004181,-9.18280341309078 38.7152271004181,-9.18280341309078 38.7138252401344)))"
714,110602,coi.tematica.grelha.lx.atributos.103,coi.tematica.grelha.lx.atributos,Alcântara,Alcântara,22,18,38.71592922860,-9.19268790697,Tapada da Ajuda,714,"{'type': 'GeometryCollection', 'geometries': [{'coordinates': [[[-9.191786566, 38.7152271], [-9.193583197, 38.7152271], [-9.193583197, 38.716628933], [-9.191786566, 38.716628933], [-9.191786566, 38.7152271]]], 'type': 'Polygon'}]}","MULTIPOLYGON (((-9.19178656593197 38.7152271004181,-9.19358319650021 38.7152271004181,-9.19358319650021 38.7166289332084,-9.19178656593197 38.7166289332084,-9.19178656593197 38.7152271004181)))"
724,110659,coi.tematica.grelha.lx.atributos.108,coi.tematica.grelha.lx.atributos,Campo de Ourique,Santa Isabel + Santo Condestável,32,18,38.71592922860,-9.17472160129,Av. de Ceuta,724,"{'type': 'GeometryCollection', 'geometries': [{'coordinates': [[[-9.17382026, 38.7152271], [-9.175616891, 38.7152271], [-9.175616891, 38.716628933], [-9.17382026, 38.716628933], [-9.17382026, 38.7152271]]], 'type': 'Polygon'}]}","MULTIPOLYGON (((-9.17382026024958 38.7152271004181,-9.17561689081782 38.7152271004181,-9.17561689081782 38.7166289332084,-9.17382026024958 38.7166289332084,-9.17382026024958 38.7152271004181)))"
772,110602,coi.tematica.grelha.lx.atributos.112,coi.tematica.grelha.lx.atributos,Alcântara,Alcântara,22,19,38.71733104760,-9.19268790697,Tapada da Ajuda,772,"{'type': 'GeometryCollection', 'geometries': [{'coordinates': [[[-9.191786566, 38.716628933], [-9.193583197, 38.716628933], [-9.193583197, 38.718030739], [-9.191786566, 38.718030739], [-9.191786566, 38.716628933]]], 'type': 'Polygon'}]}","MULTIPOLYGON (((-9.19178656593197 38.7166289332084,-9.19358319650021 38.7166289332084,-9.19358319650021 38.718030738505,-9.19178656593197 38.718030738505,-9.19178656593197 38.7166289332084)))"
683,110661,coi.tematica.grelha.lx.atributos.100,coi.tematica.grelha.lx.atributos,Misericórdia,Encarnação + Mercês + Santa Catarina + São Paulo,49,17,38.71452738210,-9.14417888163,Bairro Alto,683,"{'type': 'GeometryCollection', 'geometries': [{'coordinates': [[[-9.143277541, 38.71382524], [-9.145074171, 38.71382524], [-9.145074171, 38.7152271], [-9.143277541, 38.7152271], [-9.143277541, 38.71382524]]], 'type': 'Polygon'}]}","MULTIPOLYGON (((-9.14327754058952 38.7138252401344,-9.14507417115776 38.7138252401344,-9.14507417115776 38.7152271004181,-9.14327754058952 38.7152271004181,-9.14327754058952 38.7138252401344)))"
791,110659,coi.tematica.grelha.lx.atributos.119,coi.tematica.grelha.lx.atributos,Campo de Ourique,Santa Isabel + Santo Condestável,41,19,38.71733104760,-9.15855192617,Liceu Pedro Nunes,791,"{'type': 'GeometryCollection', 'geometries': [{'coordinates': [[[-9.157650585, 38.716628933], [-9.159447216, 38.716628933], [-9.159447216, 38.718030739], [-9.157650585, 38.718030739], [-9.157650585, 38.716628933]]], 'type': 'Polygon'}]}","MULTIPOLYGON (((-9.15765058513543 38.7166289332084,-9.15944721570367 38.7166289332084,-9.15944721570367 38.718030738505,-9.15765058513543 38.718030738505,-9.15765058513543 38.7166289332084)))"
687,110665,coi.tematica.grelha.lx.atributos.101,coi.tematica.grelha.lx.atributos,Santa Maria Maior,Castelo + Madalena + Mártires + Sacramento +Santa Justa + Santiago + Santo Estêvão + São Cristóvão e São Lourenço + São Miguel + São Nicolau + Sé + Socorro,53,17,38.71452738210,-9.13699235936,Praça da Figueira,687,"{'type': 'GeometryCollection', 'geometries': [{'coordinates': [[[-9.136091018, 38.71382524], [-9.137887649, 38.71382524], [-9.137887649, 38.7152271], [-9.136091018, 38.7152271], [-9.136091018, 38.71382524]]], 'type': 'Polygon'}]}","MULTIPOLYGON (((-9.13609101831656 38.7138252401344,-9.1378876488848 38.7138252401344,-9.1378876488848 38.7152271004181,-9.13609101831656 38.7152271004181,-9.13609101831656 38.7138252401344)))"
886,110601,coi.tematica.grelha.lx.atributos.139,coi.tematica.grelha.lx.atributos,Ajuda,Ajuda,21,21,38.72013460320,-9.19448453754,Alameda Keil do Amaral,886,"{'type': 'GeometryCollection', 'geometries': [{'coordinates': [[[-9.193583197, 38.719432516], [-9.195379827, 38.719432516], [-9.195379827, 38.720834267], [-9.193583197, 38.720834267], [-9.193583197, 38.719432516]]], 'type': 'Polygon'}]}","MULTIPOLYGON (((-9.19358319650021 38.7194325163075,-9.19537982706845 38.7194325163075,-9.19537982706845 38.7208342666157,-9.19358319650021 38.7208342666157,-9.19358319650021 38.7194325163075)))"
802,110656,coi.tematica.grelha.lx.atributos.121,coi.tematica.grelha.lx.atributos,Arroios,Anjos + Pena + São Jorge de Arroios,52,19,38.71733104760,-9.13878898992,Pena,802,"{'type': 'GeometryCollection', 'geometries': [{'coordinates': [[[-9.137887649, 38.716628933], [-9.139684279, 38.716628933], [-9.139684279, 38.718030739], [-9.137887649, 38.718030739], [-9.137887649, 38.716628933]]], 'type': 'Polygon'}]}","MULTIPOLYGON (((-9.1378876488848 38.7166289332084,-9.13968427945304 38.7166289332084,-9.13968427945304 38.718030738505,-9.1378876488848 38.718030738505,-9.1378876488848 38.7166289332084)))"
885,110601,coi.tematica.grelha.lx.atributos.138,coi.tematica.grelha.lx.atributos,Ajuda,Ajuda,20,21,38.72013460320,-9.19628116811,Alameda Keil do Amaral,885,"{'type': 'GeometryCollection', 'geometries': [{'coordinates': [[[-9.195379827, 38.719432516], [-9.197176458, 38.719432516], [-9.197176458, 38.720834267], [-9.195379827, 38.720834267], [-9.195379827, 38.719432516]]], 'type': 'Polygon'}]}","MULTIPOLYGON (((-9.19537982706845 38.7194325163075,-9.19717645763669 38.7194325163075,-9.19717645763669 38.7208342666157,-9.19537982706845 38.7208342666157,-9.19537982706845 38.7194325163075)))"
1368,110610,coi.tematica.grelha.lx.atributos.204,coi.tematica.grelha.lx.atributos,Campolide,Campolide,41,29,38.73134772560,-9.15855192617,Cadeia Penitenciária de Lisboa,1368,"{'type': 'GeometryCollection', 'geometries': [{'coordinates': [[[-9.157650585, 38.730645749], [-9.159447216, 38.730645749], [-9.159447216, 38.732047279], [-9.157650585, 38.732047279], [-9.157650585, 38.730645749]]], 'type': 'Polygon'}]}","MULTIPOLYGON (((-9.15765058513543 38.7306457489058,-9.15944721570367 38.7306457489058,-9.15944721570367 38.7320472792483,-9.15765058513543 38.7320472792483,-9.15765058513543 38.7306457489058)))"
1460,110608,coi.tematica.grelha.lx.atributos.213,coi.tematica.grelha.lx.atributos,Benfica,Benfica,14,31,38.73415073130,-9.20706095152,Boavista,1460,"{'type': 'GeometryCollection', 'geometries': [{'coordinates': [[[-9.20615961, 38.733448782], [-9.207956241, 38.733448782], [-9.207956241, 38.734850257], [-9.20615961, 38.734850257], [-9.20615961, 38.733448782]]], 'type': 'Polygon'}]}","MULTIPOLYGON (((-9.20615961047788 38.7334487820939,-9.20795624104612 38.7334487820939,-9.20795624104612 38.734850257442,-9.20615961047788 38.734850257442,-9.20615961047788 38.7334487820939)))"
1403,110608,coi.tematica.grelha.lx.atributos.209,coi.tematica.grelha.lx.atributos,Benfica,Benfica,16,30,38.73274924220,-9.20346769038,Boavista,1403,"{'type': 'GeometryCollection', 'geometries': [{'coordinates': [[[-9.202566349, 38.732047279], [-9.20436298, 38.732047279], [-9.20436298, 38.733448782], [-9.202566349, 38.733448782], [-9.202566349, 38.732047279]]], 'type': 'Polygon'}]}","MULTIPOLYGON (((-9.20256634934141 38.7320472792483,-9.20436297990965 38.7320472792483,-9.20436297990965 38.7334487820939,-9.20256634934141 38.7334487820939,-9.20256634934141 38.7320472792483)))"
1511,110607,coi.tematica.grelha.lx.atributos.219,coi.tematica.grelha.lx.atributos,Beato,Beato,65,31,38.73415073130,-9.11543279254,Quinta Ourives,1511,"{'type': 'GeometryCollection', 'geometries': [{'coordinates': [[[-9.114531451, 38.733448782], [-9.116328082, 38.733448782], [-9.116328082, 38.734850257], [-9.114531451, 38.734850257], [-9.114531451, 38.733448782]]], 'type': 'Polygon'}]}","MULTIPOLYGON (((-9.11453145149769 38.7334487820939,-9.11632808206593 38.7334487820939,-9.11632808206593 38.734850257442,-9.11453145149769 38.734850257442,-9.11453145149769 38.7334487820939)))"
1418,110608,coi.tematica.grelha.lx.atributos.211,coi.tematica.grelha.lx.atributos,Benfica,Benfica,31,30,38.73274924220,-9.17651823186,"Estrada da Serafina, Parque Recreativo do Alto da",1418,"{'type': 'GeometryCollection', 'geometries': [{'coordinates': [[[-9.175616891, 38.732047279], [-9.177413521, 38.732047279], [-9.177413521, 38.733448782], [-9.175616891, 38.733448782], [-9.175616891, 38.732047279]]], 'type': 'Polygon'}]}","MULTIPOLYGON (((-9.17561689081782 38.7320472792483,-9.17741352138606 38.7320472792483,-9.17741352138606 38.7334487820939,-9.17561689081782 38.7334487820939,-9.17561689081782 38.7320472792483)))"
15,110658,coi.tematica.grelha.lx.atributos.2,coi.tematica.grelha.lx.atributos,Belém,Santa Maria de Belém + São Francisco Xavier,6,2,38.69349638540,-9.22143399606,Avenida de Brasília,15,"{'type': 'GeometryCollection', 'geometries': [{'coordinates': [[[-9.220532655, 38.692794037], [-9.222329286, 38.692794037], [-9.222329286, 38.69419631], [-9.220532655, 38.69419631], [-9.220532655, 38.692794037]]], 'type': 'Polygon'}]}","MULTIPOLYGON (((-9.2205326550238 38.6927940368681,-9.22232928559204 38.6927940368681,-9.22232928559204 38.6941963095176,-9.2205326550238 38.6941963095176,-9.2205326550238 38.6927940368681)))"
69,110658,coi.tematica.grelha.lx.atributos.14,coi.tematica.grelha.lx.atributos,Belém,Santa Maria de Belém + São Francisco Xavier,21,4,38.69630087560,-9.19448453754,"Central Tejo, Museu da Electricidade",69,"{'type': 'GeometryCollection', 'geometries': [{'coordinates': [[[-9.193583197, 38.695598555], [-9.195379827, 38.695598555], [-9.195379827, 38.697000772], [-9.193583197, 38.697000772], [-9.193583197, 38.695598555]]], 'type': 'Polygon'}]}","MULTIPOLYGON (((-9.19358319650021 38.6955985546781,-9.19537982706845 38.6955985546781,-9.19537982706845 38.6970007723494,-9.19358319650021 38.6970007723494,-9.19358319650021 38.6955985546781)))"
80,110658,coi.tematica.grelha.lx.atributos.16,coi.tematica.grelha.lx.atributos,Belém,Santa Maria de Belém + São Francisco Xavier,7,5,38.69770307950,-9.21963736549,Centro Comercial do Restelo,80,"{'type': 'GeometryCollection', 'geometries': [{'coordinates': [[[-9.218736024, 38.697000772], [-9.220532655, 38.697000772], [-9.220532655, 38.698402963], [-9.218736024, 38.698402963], [-9.218736024, 38.697000772]]], 'type': 'Polygon'}]}","MULTIPOLYGON (((-9.21873602445556 38.6970007723494,-9.2205326550238 38.6970007723494,-9.2205326550238 38.6984029625311,-9.21873602445556 38.6984029625311,-9.21873602445556 38.6970007723494)))"
189,110658,coi.tematica.grelha.lx.atributos.23,coi.tematica.grelha.lx.atributos,Belém,Santa Maria de Belém + São Francisco Xavier,14,8,38.70190952630,-9.20706095152,Estádio Belenenses,189,"{'type': 'GeometryCollection', 'geometries': [{'coordinates': [[[-9.20615961, 38.70120726], [-9.207956241, 38.70120726], [-9.207956241, 38.702609368], [-9.20615961, 38.702609368], [-9.20615961, 38.70120726]]], 'type': 'Polygon'}]}","MULTIPOLYGON (((-9.20615961047788 38.7012072604248,-9.20795624104612 38.7012072604248,-9.20795624104612 38.7026093681361,-9.20615961047788 38.7026093681361,-9.20615961047788 38.7012072604248)))"
1617,110655,coi.tematica.grelha.lx.atributos.237,coi.tematica.grelha.lx.atributos,Areeiro,Alto do Pina + São João de Deus,53,33,38.73695362690,-9.13699235936,Instituto Superior Técnico,1617,"{'type': 'GeometryCollection', 'geometries': [{'coordinates': [[[-9.136091018, 38.736251705], [-9.137887649, 38.736251705], [-9.137887649, 38.737653126], [-9.136091018, 38.737653126], [-9.136091018, 38.736251705]]], 'type': 'Polygon'}]}","MULTIPOLYGON (((-9.13609101831656 38.7362517052926,-9.1378876488848 38.7362517052926,-9.1378876488848 38.7376531256452,-9.13609101831656 38.7376531256452,-9.13609101831656 38.7362517052926)))"
1693,110621,coi.tematica.grelha.lx.atributos.248,coi.tematica.grelha.lx.atributos,Marvila,Marvila,70,34,38.73835503350,-9.10644963970,Marvila Velha,1693,"{'type': 'GeometryCollection', 'geometries': [{'coordinates': [[[-9.105548299, 38.737653126], [-9.107344929, 38.737653126], [-9.107344929, 38.739054518], [-9.105548299, 38.739054518], [-9.105548299, 38.737653126]]], 'type': 'Polygon'}]}","MULTIPOLYGON (((-9.1055482986565 38.7376531256452,-9.10734492922474 38.7376531256452,-9.10734492922474 38.7390545184995,-9.1055482986565 38.7390545184995,-9.1055482986565 38.7376531256452)))"
1557,110655,coi.tematica.grelha.lx.atributos.224,coi.tematica.grelha.lx.atributos,Areeiro,Alto do Pina + São João de Deus,52,32,38.73555219280,-9.13878898992,Instituto Superior Técnico,1557,"{'type': 'GeometryCollection', 'geometries': [{'coordinates': [[[-9.137887649, 38.734850257], [-9.139684279, 38.734850257], [-9.139684279, 38.736251705], [-9.137887649, 38.736251705], [-9.137887649, 38.734850257]]], 'type': 'Polygon'}]}","MULTIPOLYGON (((-9.1378876488848 38.734850257442,-9.13968427945304 38.734850257442,-9.13968427945304 38.7362517052926,-9.1378876488848 38.7362517052926,-9.1378876488848 38.734850257442)))"
1764,110608,coi.tematica.grelha.lx.atributos.262,coi.tematica.grelha.lx.atributos,Benfica,Benfica,21,36,38.74115776420,-9.19448453754,PFM: Mata de São Domingos de Benfica,1764,"{'type': 'GeometryCollection', 'geometries': [{'coordinates': [[[-9.193583197, 38.740455884], [-9.195379827, 38.740455884], [-9.195379827, 38.741857222], [-9.193583197, 38.741857222], [-9.193583197, 38.740455884]]], 'type': 'Polygon'}]}","MULTIPOLYGON (((-9.19358319650021 38.7404558838553,-9.19537982706845 38.7404558838553,-9.19537982706845 38.7418572217123,-9.19358319650021 38.7418572217123,-9.19358319650021 38.7404558838553)))"
1299,110610,coi.tematica.grelha.lx.atributos.193,coi.tematica.grelha.lx.atributos,Campolide,Campolide,31,28,38.72994618150,-9.17651823186,"Rua Padre Domingos Maurício dos Santos, Parque da",1299,"{'type': 'GeometryCollection', 'geometries': [{'coordinates': [[[-9.175616891, 38.729244191], [-9.177413521, 38.729244191], [-9.177413521, 38.730645749], [-9.175616891, 38.730645749], [-9.175616891, 38.729244191]]], 'type': 'Polygon'}]}","MULTIPOLYGON (((-9.17561689081782 38.7292441910665,-9.17741352138606 38.7292441910665,-9.17741352138606 38.7306457489058,-9.17561689081782 38.7306457489058,-9.17561689081782 38.7292441910665)))"
1260,110656,coi.tematica.grelha.lx.atributos.191,coi.tematica.grelha.lx.atributos,Arroios,Anjos + Pena + São Jorge de Arroios,52,27,38.72854461000,-9.13878898992,Hospital Pediátrico de D. Estefânia,1260,"{'type': 'GeometryCollection', 'geometries': [{'coordinates': [[[-9.137887649, 38.727842606], [-9.139684279, 38.727842606], [-9.139684279, 38.729244191], [-9.137887649, 38.729244191], [-9.137887649, 38.727842606]]], 'type': 'Polygon'}]}","MULTIPOLYGON (((-9.1378876488848 38.7278426057307,-9.13968427945304 38.7278426057307,-9.13968427945304 38.7292441910665,-9.1378876488848 38.7292441910665,-9.1378876488848 38.7278426057307)))"
1311,110657,coi.tematica.grelha.lx.atributos.198,coi.tematica.grelha.lx.atributos,Avenidas Novas,Nossa Senhora de Fátima + São Sebastião da Pedreira,43,28,38.72994618150,-9.15495866504,"Alameda Edgar Cardoso, Estufa Fria",1311,"{'type': 'GeometryCollection', 'geometries': [{'coordinates': [[[-9.154057324, 38.729244191], [-9.155853955, 38.729244191], [-9.155853955, 38.730645749], [-9.154057324, 38.730645749], [-9.154057324, 38.729244191]]], 'type': 'Polygon'}]}","MULTIPOLYGON (((-9.15405732399895 38.7292441910665,-9.15585395456719 38.7292441910665,-9.15585395456719 38.7306457489058,-9.15405732399895 38.7306457489058,-9.15405732399895 38.7292441910665)))"
405,110665,coi.tematica.grelha.lx.atributos.42,coi.tematica.grelha.lx.atributos,Santa Maria Maior,Castelo + Madalena + Mártires + Sacramento +Santa Justa + Santiago + Santo Estêvão + São Cristóvão e São Lourenço + São Miguel + São Nicolau + Sé + Socorro,51,12,38.70751773710,-9.14058562049,Rua do Arsenal,405,"{'type': 'GeometryCollection', 'geometries': [{'coordinates': [[[-9.139684279, 38.706815526], [-9.14148091, 38.706815526], [-9.14148091, 38.708217524], [-9.139684279, 38.708217524], [-9.139684279, 38.706815526]]], 'type': 'Polygon'}]}","MULTIPOLYGON (((-9.13968427945304 38.7068155263243,-9.14148091002128 38.7068155263243,-9.14148091002128 38.7082175240708,-9.13968427945304 38.7082175240708,-9.13968427945304 38.7068155263243)))"
129,110602,coi.tematica.grelha.lx.atributos.21,coi.tematica.grelha.lx.atributos,Alcântara,Alcântara,26,6,38.69910525600,-9.18550138470,Centro de Congressos de Lisboa,129,"{'type': 'GeometryCollection', 'geometries': [{'coordinates': [[[-9.184600044, 38.698402963], [-9.186396674, 38.698402963], [-9.186396674, 38.699805125], [-9.184600044, 38.699805125], [-9.184600044, 38.698402963]]], 'type': 'Polygon'}]}","MULTIPOLYGON (((-9.18460004365902 38.6984029625311,-9.18639667422726 38.6984029625311,-9.18639667422726 38.699805125223,-9.18460004365902 38.699805125223,-9.18460004365902 38.6984029625311)))"
